internal carotid artery	do not occlude	blood flow	1
essential hypertension	be give	regular sodium diet	2
hbsv-associated glomerulonephritis	be of	secondary membranous type	2
active proliferative diabetic retinopathy	have	both extracapsular cataract extraction	3
emphysematous pyelonephritis	be	severe necrotizing infection	5
sinusitis	include	comprehensive clinical examination	5
computerized tomography scan	reveal	bone necrosis	4
accurate platelet	count in	thrombocytopenic pregnancy	4
this patient	have	chemotherapy	3
adjuvant radiation	affect	overall survival	2
results of this study	suggest	need	1
lymphomatoid granulomatosis/angiocentric lymphoma	develop	hypercalcemia	3
chest ct	combine with	artificial pneumothorax	2
hepatitis c virus infection	be associate with	development of hepatocellular carcinoma	3
morphologic examination	be conduct by	light and electron microscopy	2
group	do not undergo	surgery	2
no cartilage development	be note at	any stage	1
tumor	contain	viral deoxyribonucleic acid	2
doppler echocardiography	be recommend as	easy and accurate method	2
only one patient	withdraw from	study	1
transient asymptomatic hypocalcemia	be note in	one patient	2
one patient	die from	squamous cell cancer	2
ischemia	return to	baseline	1
one patient	suffer	serious long-term disability	3
renovascular hypertension	be	greater risk factor	2
anaesthetised patient	result in	life-threatening hypotension	2
carcinoma of the lung	have metastasize to	brain	4
serum hdl cholesterol	be in	high-normal range	2
this study	point to	need	2
this study	seek to determine	extent	2
fracture	be see on	ct	4
stroke	may occur at	any age	2
cirrhosis	die of	hepatic failure	2
any patient	withdraw from	study	1
second patient	present with	low grade fever	2
distal ischemia	have	vessel ligation	3
% flow reduction	be attenuate to	same extent	1
blunt liver injury	be evaluate by	abdominal ct	2
serum calcium	fall within	normal range	2
clinical course	end in	death	2
patient	lead to	diagnosis of hiv infection	3
nonsurgical group	include	congestive heart failure	1
no patient	survive	bowel infarction	4
sectional nasal airway area	be	objective method	2
psychologic morbidity	be assess use	patient-rated indices of depression	2
gadolinium contrast	further increase	this ratio	2
probable alzheimer 's disease	be select for	study	1
diarrhea	include	crypt cell proliferation	4
parental hypertension	be associate with	higher sex	4
mortality	be associate with	age	1
cryptococcal meningitis	be complication of	hiv-induced immunosuppression	2
stage of disease	be	strongest factor	1
chuinard 's fusion	achieve	tibiotalar fusion	2
maximal flow ratio	be represent by	ratio	1
minimum risk	raise suspicion about	disease	1
<NUM> patient	require	permanent pacemaker	3
synovial fluid	seem to be	cyto-directed factor	2
results of this study	confirm report of	successful amiodarone use	4
patient	be	severe central airways obstruction	4
patient	have	suture reaction	2
malaria transmission area	develop	blood-stage infection	3
regression analysis	reveal	significant covariate risk	3
toxoplasmosis	perform	brain biopsy	3
appearance of progression	have not improve	survival	2
congenital heart disease	be enter into	prospective study	1
final diagnosis	provide clue to	diagnosis	1
patient	have undergo	radiation	1
renal cell carcinoma	have	tumor	3
cervical spine trauma	do	timing of surgery	2
renal biopsy	show	membranoproliferative glomerulonephritis	2
histologic examination	show change of	fat necrosis	1
one patient	eventually require	amputation	2
our patient	recover with	corticosteroid therapy	3
one patient	be treat with	biopsy	3
sign of underlying disease	be cause	blood loss	2
prehospital assessment	be	head	2
non-hodgkin lymphoma	be associate with	hiv infection	2
ct scan	reveal	intracerebral injury	2
control group	have undergo only	abdominal surgery	4
hyperinsulinemia	may lead to	hypertension	3
limb loss	be due to	soft-tissue sepsis	2
tumor	identify at	emergency surgery	2
only one patient	have	positive rast reaction	2
phytohemagglutinin skin	test response to	<NUM> % of baseline	5
b. liposomal delivery	allow	drug	4
lowest total dose	be set at	level	1
blood oxygen tension	exist between	pulmonary artery	1
each illness	follow	fulminant course	4
either study group	have	seizures or progression	2
each group	remain free of	peritonitis	4
current use	decline sharply with	age	5
one patient	undergo	irradiation	2
disease	depend on	nature of the disorder	3
only diarrhea	occur with	significantly different frequency	2
pregnant patient	may complain of	low-abdominal pain	2
each patient	be give	modified psychometric assessment	2
accuracy of echocardiography	blind	crossectional area	2
histologic examination	reveal	granulomatous dermatitis	3
la active contraction period	significantly increase with	hypertension	1
patient	be treat for	his tumor	2
severe pancreatitis	be at	risk	1
multisystem failure	be identify use	multiple logistic regression analysis	3
each group	show	improved survival	2
current study	present	evidence	1
propranolol	result in	increase	1
this secondary hyperlipidemia	may further aggravate	initial glomerular injury	2
median response duration	be	<NUM> months ( range	4
sodium	contain	glucose	1
test	perform early after	surgery	2
apparent myocardial disease	be infrequent in	sarcoidosis	3
only patient	require operation for	chronic gastric outlet obstruction	2
features of typhoid fever	be correlate with	age and gender	6
balloon injury	cause	intimal smooth muscle proliferation	3
crohn 's disease	manifest	retinal vascular disease	3
fluorescein angiography	disclose	diffuse leakage	4
first group	be resistant to	penicillin	2
ventilation hypersensitivity pneumonitis	occur with	any significant frequency	4
prostate cancer	may be	separate <NUM> associated cancer	2
electron microscopy	confirm	regrowth of the endothelium	3
serum	ionize	calcium	2
repeat	program	stimulation	2
nonrecurrent uveitis	be associate with	positive test	1
trial of labor	result in	vaginal delivery	2
stable angina	have	angina	1
toxoplasmosis	be	potentially treatable opportunistic infection	5
coronary artery disease	have	<NUM> % survival	2
biliary disease	markedly reduce	radiation exposure	2
this enzyme	can rapidly inactivate	fibrinogen	2
digoxin	be	poor drug	2
study	be similar in	age	1
structural heart disease	be study with	treadmill test	2
chronic persistent cough	be unexplained after	standard diagnostic assessment	3
distribution	be suggestive of	systemic contact dermatitis	3
primary biliary cirrhosis	be parallel by	reciprocal increase	2
neuromuscular disease	may develop	respiratory failure	3
coronary heart disease death	be	diastolic blood pressure	1
death	be related to	radiation dose	3
anesthesia morbidity	be associate with	general anesthesia	1
nasopharyngeal carcinoma	be screen by	western blot analysis	2
cranial ct scan	reveal	small high density area	2
their survival	do not induce	proliferation	2
entire group	be	<NUM> days ( range	2
drug	may affect	diabetes	2
dentist	should perform	complete examination	3
closed head injury	show	greater impairment	3
patient	come from	endemic area	2
increased mortality	be	age	3
time of initial diagnosis	be associate with	increased cancer mortality	2
elderly patient	start on	regimen of indomethacin	3
other patient	have	metastatic breast carcinoma	4
purpose of this study	be to determine	frequency	3
sickle cell disease	have have	stroke	4
testicular volume	be below	normal adult range	3
time of surgery	be delay	<NUM> hr	6
each patient	be heterozygous for	mutation	1
abdominal adiposity	confer increase	risk	3
patient	be at	high risk	1
pathogenesis of this disorder	may involve	arteriolar obstruction	3
alkalinised group	have significantly	less pain	1
increased risk of injury	may confer	lower risk	2
blood pressure	be accompany by	increase	1
this abnormal tissue	may be at	risk	2
this study	examine	extent	1
acute stroke	often have	high blood pressure	2
cancer	be remove from	analysis	2
bladder tumor	extend directly into	prostate	3
advanced hiv infection	be independent of	presence of diarrhea	4
amoxicillin-clavulanic acid	produce resolution of	infection	1
vascular soft tissue	have be	skin	3
once the patient	go to	surgery	2
neonatal primary hyperparathyroidism	be	life-threatening disease	2
second period	receive	nystatin prophylaxis	2
mycoplasma	contain	factor	2
one patient	have	proximal metaphyseal-diaphyseal segmental fracture	3
logistic discriminant analysis	be perform in	learning group	2
no patient	have have	myocardial infarction	1
silicon	may participate in	calcification of bone	2
sepsis	be enrol in	this open study	2
pain	be refer to	part of the body	2
prevalence of hypertension	be higher in	plasma therapy group	3
eye examination	lead to	diagnosis	1
human immunodeficiency virus type	classify as	group	3
advanced cancer	be enter in	study	1
tissue fluid	contain	oxygen	2
previous weight loss	creatinine	level	2
generalized pustular psoriasis	be hospitalize during	29-year period	4
normal sodium diet	consist of	<NUM> mmol of sodium	1
patient	have	uneventful hospital course	3
cow masseter muscle	consist mainly of	type	1
initial diagnosis	be compare to	follow-up diagnosis	2
sympathetic ganglion block	relieved	pain	5
duration of illness	be	most important factor	1
high ratio	packed	cell volume	3
no significant accumulation	be observe in	either group	3
ischemia	inhibit	lung injury	1
woven bone	be replace with	remodeled lamellar bone	2
rheumatoid arthritis	be use in	study	3
one patient	manifest	evidence of rejection	3
maternal hiv infection	indicate	extent	2
obesity	will accentuate	hypercholesterolemia	4
diarrheal disease	have	bloody diarrhea	2
surgery	be at	risk	4
noncardiogenic pulmonary edema	probably result from	direct alveolar injury	3
no mortality	be observe in	this study	3
stroke risk	treble	risk	2
their primary disease	improve to	level	1
sample of serum	be obtain before	endoscopy	5
hypertensive patients group	mean	blood pressure	1
patient	be to achieve	early reduction	3
this whole area	be currently under	study	1
carcinoma of the prostate	may present with	metastatic disease	2
his course	be complicate by	chorioretinitis	3
asthma	be characterize by	increase	1
this article	discuss separately	innervation of each region	4
duplex scan	be associate with	reduction	1
crystalline material containing silicon	be observe in	deep tissue	2
cyst rupture	be follow by	substantial morbidity and mortality	2
over-all survival	be comparable to	expected survival	3
pregnancy	be associate with	greater thyroidal risk	4
purposes of this study	be to establish	method	3
one patient	be	clinical failure	1
thrombocytosis	be attribute to	other factor	3
lung disease	may progress over	relatively short period	2
addition	show	diffuse vascular proliferation	2
acute myocardial infarction	be	reperfusion injury	2
study	be divide into	dose titration stage	2
hyperparathyroidism	appear to be	particular risk	1
ablative surgery	be perform for	squamous carcinoma	2
lowest mortality	be see in	group	1
cytosolic calcium	also fall during	nonpharmacological reduction	2
patient	be free of	infection	2
degradation of tgf alpha	be mediate in	part	1
lymphoma	respond to	chemotherapy	3
role of inflammation	outline	treatment of acute asthma	2
one patient	be diagnose with	ectopic pregnancy	1
blood flow	be maintain in	tumor	1
rheumatoid arthritis	lead to	dramatic reduction	1
only one patient	possess	b7 crossreacting antigen	2
infection	be	age	1
adjunctive corticosteroid therapy	can improve	survival	2
meningococcal invasion	may also be	factor	2
this increase	may be	major factor	1
blood pressure	rise significantly with	age	1
residual disease	require further	surgery	2
gastrointestinal bleeding	can result from	infection	4
graves ' disease	thyroid	tissue	2
phenobarbital sodium	decrease	mean arterial blood pressure	3
tcr-alpha beta	fail to develop	chronic persistent arthritis	2
microcirculatory level	be responsible for	observed decreased necrosis	2
lung cancer	be accompany by	increase	2
thereafter headache	occur while	regional cerebral blood flow	1
such an increase	may result from	alteration	1
congestive heart failure	have	high mortality rate	2
one patient	have	unwitnessed seizure	2
systolic blood pressure	be unchanged from	baseline	1
no patient	receive	adjuvant chemotherapy	1
readmission	cause of	death	2
risk	have	positive test	1
interstitial pneumonitis	resolve with	corticosteroid therapy	2
arterial blood pressure	show	no significant increase	2
superimposed exercise	result in	further reduction	2
enzyme	be quantify in	synovial fluid	1
neoadjuvant chemotherapy	improve	long-term survival	2
tumor	rad	dose	2
patient	take double	appropriate warfarin dose	3
this patient	be alive without	evidence of disease	2
graves ' disease	have marked	lymphocytic infiltration	2
polyglactin <NUM> mesh	develop	bowel obstruction	3
labor	can eliminate	group b streptococcal sepsis	2
ct	prove invaluable for	assessment of injury	2
low grade and stage	be correlate with	longer survival	3
one patient	have	no hernia	4
patient	develop	dyspnea	2
more profound insulin resistance	be cause by	further reduction	1
bun/cr ratio	may be	easy <NUM> cheap method	2
myocardial ischemia	be classify at	high risk	3
heart failure	precipitated by	acute myocardial infarction	1
greater extent	do	infection	4
complete airway occlusion	occur only in	former patient group	2
patient	advance	distal atherosclerotic disease	2
disease	persist after	disease	3
( control group	be match for	age and sex	2
hypotension	can occur with	infusion of desmopressin	2
its use	be complicate by	frequent occurrence of hypertension	2
first type	involve	vertebral body	4
valvular injury	recognize consequence of	nonpenetrating trauma	2
examination	be include in	study	1
one patient	develop	severe headache	3
two-dimensional echocardiography	be	sensitive test	2
sham-es group	receive	electrical stimulation	1
one patient	be take off	study	1
cordis ) <NUM> hr	image for	<NUM> hr	1
morbidity	also contribute to	mortality	4
acute renal failure	occur after	surgery	3
postmortem histologic examination	reveal	<NUM> % restenosis	2
one patient	resolve without	discontinuation of the drug	2
region	be cover with	muscle flap	2
patient	present with	massive subendocardial infarction	2
breast carcinoma	be compare with	age-matched volunteer group	2
oncogene	inactivate	retinoblastoma susceptibility gene product	2
body size	be	important factor	1
stable angina	predict	death	2
patient	die of	multisystem organ failure	3
fine-needle-aspiration biopsy cytology	be perform on	tissue	1
myofascial pain	be	most common somatic diagnosis	5
average american diet	do not contain	sufficient calcium	2
neither patient	have	significant underlying liver disease	3
severe <NUM> steroid-dependent asthma	be enrol in	study	1
idiopathic dermatologic disease	frequently produce	conjunctival inflammation	2
diarrhea	average	<NUM> % ( range	2
surgery	occur in	either patient	2
ccl4-induced cirrhosis	be similar to	alcoholic cirrhosis	4
macular edema	include poorly control	hypertension	2
abscess	be detect by	transthoracic echocardiography	2
lung cancer	be manage by	endoscopic intubation	4
level	be in	diagnostic range	2
extratemporal partial epilepsy	begin in	childhood	2
central nervous system involvement	generally have	isolated pulmonary infection	2
pancreatic tumor	be detect by	ultrasonography	2
tumor	remove at	surgery	2
thromboxane a2 and prostacyclin	may be	factor	2
former group	have	no lymph node involvement	2
results of us-guided biopsy	reveal	cancer	1
diagnosis	be	<NUM> years ( range	4
gaucher 's disease	develop	upper gastrointestinal bleeding	2
interstitial brown adipose tissue	characteristically accompany	exposure	1
this patient 's diagnosis	be change to	non-hodgkin 's lymphoma	3
physical examination	suggest	disorders of platelet number	3
human immunodeficiency virus infection	be related to	degree of immunosuppression	6
indolent nodular lymphoma	be notice after	combination chemotherapy	2
disseminated n. gonorrhoeae infection	lead to	septic arthritis	4
acute autonomic neuropathy	present with	gastrointestinal involvement	5
immunohistochemical examination	show	abundant viral antigen	2
patient	do develop	arthritis	3
bone marrow examination	result in	diagnosis of mycobacterial infection	3
this measurement	involve heating	skin	2
cyclosporine	can cause	patient	2
bacterial endocarditis	occur in	one patient	1
induction chemotherapy	do not undergo	surgery	1
hodgkin 's lymphoma	be cure with	chemotherapy	2
diagnosis of pyogenic sacroiliitis	be make in	each patient	3
mortality	be	hypotension	1
people	have	diabetes	1
external radiation	improve	visual acuity	2
mean arterial blood pressure	significantly reduce	total cerebral blood flow	3
effect of intercurrent illness	be study in	addition	1
pulsed doppler echocardiography	show	blood flow	1
bone	show	positive reaction	2
ct of the brain	be do in	any patient	3
postoperative fever	occur in	one patient	1
median survival	be related to	cell type	2
injury	occur independently of	continued intestinal ischemia	6
highest cumulative incidence group	sepsis	mortality	5
acute traumatic period	require revision to	more proximal level	2
tumor	provide	additional evidence	2
tumor	be miss on	aspiration	1
suspected ovarian carcinoma	undergo only	diagnostic needle aspiration	2
aim of the study	be to find	simple method	2
biopsy-proven cns lymphoma	be treat with	whole-brain radiation	2
severe alpha delta-spd patient	be in	clear contrast	2
risk factor	disappear with	onset of illness	3
carcinoma	be discover on	routine surveillance endoscopy	2
patient	remain on	drug	3
double-blind crossover study	be perform in	<NUM> hypertensive non-insulin-dependent diabetic	3
one patient	be withdraw from	each group	1
c-myc oncogene	be rearrange in	this tumor	2
coronary angiography	reveal	its presence	2
gastric cancer	be unusual during	pregnancy	3
diagnosis of carcinoma	be establish after	surgery	1
mixed connective tissue disease	present with	acute abdominal pain	4
allograft biopsy	show	extensive involvement	4
penetrating injury	have	<NUM> % survival	1
this type	relate to	classic stage	2
induced hyperlipidemia test	permit	biochemical diagnosis	2
each other	be different to	some extent	2
encapsulating peritonitis	frequently lead to	intestinal obstruction	2
placebo group	be withdraw from	study	3
angiography	show	occlusion	2
frame-by-frame analysis	increase efficiency of	measurement	1
fragilis group	bacteroide	melaninogenicus group	3
history of stroke	thromboembolic	disease	1
hdl cholesterol level	correlate positively with	blood pressure	1
correction	result in	significant increase	1
renal involvement	consist of	focal interstitial infiltration	6
one elderly patient	die from	myocardial infarction	3
chlorambucil and prednisone	lead to	dramatic reduction	3
patient	subsequently develop	supraclavicular lymphadenopathy	2
diabetes	be diagnose by	oral glucose tolerance test	5
bypass surgery	be perform under	total cardiopulmonary bypass	3
chronic myeloid leukemia	be use during	pregnancy	1
primary tumor	appear to be	non-small cell lung carcinoma	2
mannitol group	demonstrate	less increase	2
viral disease	may render	patient	4
no patient	have	pulmonary hypertension	2
irradiation	be choose for	prophylaxis	1
lymph node	have	gene rearrangement	3
aluminum-induced bone disease	may resemble	hyperparathyroidism	2
one patient	have	intestinal obstruction	3
intravenous glucose	culminate in	uncomplicated full-term delivery	3
postmortem examination	be perform on	survivor of each group	2
fourth patient	do not undergo	surgery	1
coronary disease	increase	total mortality	2
no such headache	occur after	extra-intracranial bypass	2
diagnosis	be confirm by	skin biopsy	2
this study	be to provide	another test	2
blunt chest trauma	can result in	significant cardiothoracic injury	3
tumor	confirm on	surgery	2
small bowel carcinoma	experienced	catheter fracture	2
great degree	may help explain	morbidity and mortality	1
endometrial cancer	be associate with	advanced stage disease	2
mortality	ameliorate	progression of renal impairment	2
nineteen people	have left	trial area	2
disease	have	slow progression	3
this progression	do	patient 's cigarette smoking	2
individual electrode activation	be obtain under	general anesthesia	2
loop fluid volume	prevent	necrosis	2
asthma	suggest	ongoing mast cell activation	2
third patient	have not have	surgery	1
ct	may demonstrate	extensive parenchymal disease	4
infection	be superimpose on	recent vertebral fracture	2
plasma cholesterol	report	angina	1
analysis	be stratify by	gender	3
one patient	die of	sepsis	4
ursodeoxycholic acid	be administer to	patient	2
unstable angina	have have	cardiac bypass surgery	2
aim of the study	be to analyze	possible alteration	2
comminuted scapular fracture	be treat with	continuous suprascapular nerve block	2
<NUM> years of age	be associate with	occurrence of stroke	3
people	may be at	risk	1
<NUM> years of age	mean	age	4
mortality	do not preclude	survival	2
severe coronary artery disease	be	silent ischemia	1
neopterin	assay in	addition	2
asthma	be challenge with	exercise	1
dialysis-related amyloid disease	cause	extensive morbidity	3
patient	be wean from	mechanical ventilation	2
ventilation	have	adverse reaction	3
patient group	be compare with	activity of the disease	2
third patient	have	myocardial infarction	2
cigarette smoking	be associate with	reduction	1
mean age	be	<NUM> years ( range	8
ovarian cancer cell proliferation	be independent of	gonadotropin and steroid	2
intravenous glucose	appear to prevent	late-pregnancy pancreatitis	3
most commonly associated disease	be	polycystic kidney disease	3
patient	have	markedly diseased colon	2
advanced and metastatic carcinoma	be unsuitable for	surgery	2
less back-up medication	do	placebo group	1
antireflux surgery	can result in	immediate persistent postoperative dysphagia	2
one patient	refuse to undergo	angiography	3
bone	grade for	necrosis	1
renal failure	be evaluate in	open study	2
hepatic amyloidosis	be of	sinusoidal type	2
only treatment failure	be	patient	2
patient	have discontinue	-lsb- 3h -rsb- medication	2
body	retain	tissue	3
history of diarrhea	be suggestive of	diagnosis	2
early breast cancer	undergo	breast conservation surgery	3
asthma	be	more destructive lung disease	2
serum estradiol	remain within	normal range	1
myocardial infarction	die of	coronary heart disease	1
occurrence of conduction block	be determine by	cycle length of stimulation	2
hearing loss	occur in	this high risk group	2
insulin-dependent diabetes	be associate with	increased risk	2
absolute mold level	be	most important factor	1
carbon tetrachloride	have	annular fibrosis	3
patient 's course	be marked by	numerous bouts of infection	4
patient	suffer from	von recklinghausen 's disease	3
acute edematous pancreatitis	follow	excessive cholinergic stimulation	2
one patient	subsequently require	amputation	2
aztreonam	be give for	treatment of pneumonia	4
silent ischemia	be worse in	diabetic	2
this analysis	provide	evidence	1
heterotopic columnar epithelium	have	microinvasive carcinoma	2
patient 's serum	react strongly with	affinity-purified cp3 antigen	3
results of this study	provide	evidence	2
breast cancer	be enrol in	prospective study	3
flow cytometric dna analysis	appear to be	rather coarse method	2
mechanical ventilation	develop	hospital-acquired bacterial pneumonia	3
similar patient group	do not have	angiography	1
tumor volume	be observe in	group	2
bronchial asthma	need	further study	1
hypertension	be associate with	reduction	1
verapamil	cease after	discontinuation of the drug	2
myocardial ischemia	be assess during	intraoperative period	2
early-stage disease	be treat with	radiation	5
xenon-133 inhalation method	examine	cortical blood flow	2
necrosis	be	age and gender	1
second largest group	result from	high-dose irradiation	2
patient	be wean from	cardiopulmonary bypass	1
illness	affect	risk-taking behavior	2
fas test	appear to be	most general pathogenicity test	4
early diagnosis	improve	mortality	2
tunnel infection	be associate with	peritonitis	2
some cases of cancer	be at	very early stage	2
extensive necrosis	necessitate	open transmetatarsal amputation	4
digital vibration measurement	can elucidate	subclinical ulnar neuropathy	3
purpose of our study	be to determine	morbidity and mortality	1
no case of lymphoma	be diagnose by	bone marrow examination	3
pain	be assess by	patient	1
no patient	have	serious cardiac arrhythmia	4
other preceding opportunistic infection	live for	much shorter duration	4
nonmetastatic cancer	be follow from	first cycle of chemotherapy	1
purpose of this analysis	be to determine	relationship of cigarette smoking	2
logistic analysis	increase	age	4
each young patient	present with	illness	2
test	be perform during	periods of active disease	2
this patient	do not represent	progressive ocular disorder	4
one patient	have	unilobar disease	3
non-cirrhotic portal hypertension	develop	iga nephropathy	3
tolerance development	seem to be	dose	1
definitive diagnosis	be make by	renal biopsy	4
patient	be in	hepatic failure	3
second carcinoma	may develop in	residual columnar epithelium	2
smoking	mean	left atrial size	2
chemotherapy	reverse	respiratory failure	2
mrl-1pr <NUM> pr mouse	develop	lupus-like illness	6
significant morbidity and mortality	may arise from	failure	3
one of a patient	have	hypertension	2
postural hypotension	watershed	infarction	1
physical examination	be calculate use	echocardiography	1
bone	have be on	collagen	1
ct scan analysis	be perform use	ct number frequency distribution	2
insulin-dependent diabetes	be prone to	infection	5
morbidity	do not increase	mortality	3
median age	be	<NUM> years ( range	6
irritant contact dermatitis	predominate over	allergic contact dermatitis	2
stepwise regression analysis	be apply to	each group	1
atherosclerosis	be observe at	angiography	2
treatment failure	develop	cns disease	3
previously unknown tumor	cause	known pituitary tumor	2
one patient	die of	intercurrent illness	1
soluble cd4 antigen	appear in	serum	1
second study	may permit	accurate diagnosis	1
precise diagnosis	be establish at	time of assessment	2
immediate enteral feeding	be	safe and effective method	2
surgeon	may either resect	intrauterine disease	3
percutaneous injury	do not represent	significant exposure	2
each group	be also take	prednisone	3
arterial hypoxemia	be accompany by	increase	2
lactose malabsorption	occur at	earlier age	4
transracial analysis	provide	method	2
perinatal mortality	contribute significantly to	causation of schizophrenic illness	2
patient	present with	flank pain	2
typical computed tomographic scan	be helpful in	diagnosis	3
fiber number	be associate with	reduction	1
vertebral artery	be at	risk	2
carcinoma of the lung	account for	majority of excess mortality	2
p24 antigen	be detect in	serum	2
serum	do correlate with	bun/creatinine ratio	2
this article	include discussion of	measurement of impairment	2
first group	be consider	positive reaction	3
this study	present datum about	type of hernia	2
oxygenation of the patient	be only	possible using transtracheal ventilation	4
frontotemporal region	produce damage to	optic nerve	4
none of an age	match	control group	5
granulocytic sarcoma	rarely occur in	colon	4
retroperitoneum	be free of	tumor	1
advanced non-hodgkin 's lymphoma	treat with	combination chemotherapy	4
no patient	receive	total nodal irradiation	2
comparative <NUM> prospective study	be make of	incidence of infection	2
flecainide	have	repeat programmed ventricular stimulation	2
positive test	have	lower norepinephrine level	2
h. pylori infection	be independent of	gender	1
obstructing tumor	be determine by	multivariate logistic regression analysis	2
exposure and disease	be in	cohort study	2
nocturnal positive pressure ventilation	be associate with	increase	1
cardiopulmonary bypass	be employ in	<NUM> patients ( group	4
gestation and lactation	result in	increase	2
rheumatoid arthritis	present with	diffuse pain	4
postoperative diagnosis	differ significantly from	ed diagnosis	2
hepatic artery	occur during	chemotherapy	2
surgery	seem	important factor	2
recurrent vulvar carcinoma	experienced progression of	disease	2
arterial occlusion	resemble	human vascular disease	3
women of childbearing age	have	diabetes	3
neuromuscular disease	do not have	dysphagia	2
interstitial cystitis	be	autoimmune disease	2
technically adequate mr angiography	may be	sensitive screening examination	2
no patient	left	study	2
this differential shrinkage	introduce	error	3
ratio	remain below	normal range	1
patient	will have	long survival	2
yates ' correction	be use for	statistical analysis	3
one patient	have die of	local failure	2
this article	review	evidence	1
electron microscopy	show	cleavage level	2
bone scan	be not	significant independent prognostic factor	3
isolated pulmonary infection	present with	cough and dyspnea	2
clinical course	consist of	prodromal upper respiratory illness	3
remaining patient	have	no surgery	3
baseline	program	stimulation	2
severity of injury	predict	survival	2
significant increase	be see in	mean renal volume	3
echographic assessment	be	nondiscrepant ( group	2
derangements of cellular proliferation	occur in	diabetes	2
this age	range	( relative risk	3
no patient	have sustained	myocardial infarction	2
one failure	occur in	ofloxacin group	3
exercise	be also	leading precipitating factor	2
patient	report	<NUM> % reduction	1
tongue base cancer	include	brachytherapy	2
this group	have	long survival	2
this depression	be see as	inability	1
retreatment chemotherapy	refuse	surgery	2
one retroperitoneal hematoma	occur in	tlr-arch group	2
glomerular injury	ultimately result in	diabetic nephropathy	2
two years of age	close	reduction	2
tumor	suggest	tumor necrosis factor	5
severe congestive heart failure	be	fatal illness	2
this pilot study	develop	method	2
catheter-related sepsis	may present in	patient	1
cisplatin	bleomycin	chemotherapy	4
hyaluronic acid	be associate with	significant reduction	4
patient	present with	severe and acute headache	2
diet and exercise	delay	frank diabetes	3
patient	present with	severe headache	2
